Name,Stab attack,Slash attack,Crush attack,Magic attack,Ranged attack,Stab defence,Slash defence,Crush defence,Magic defence,Ranged defence,Strength,Ranged strength,Magic damage,Prayer,Speed
'24-carat' sword,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0.0,0,4.0
3rd age axe,-2,38,32,0,0,0,1,0,0,0,42,0,0.0,0,5.0
3rd age druidic staff,7,-1,25,10,0,2,3,1,10,0,32,0,0.0,6,5.0
3rd age longsword,0,72,60,0,0,0,3,2,0,0,75,0,0.0,0,5.0
3rd age pickaxe,38,-2,32,0,0,0,1,0,0,0,42,0,0.0,0,5.0
3rd age wand,0,0,0,20,0,0,0,0,20,0,0,0,0.0,0,4.0
Abyssal dagger#(p),75,40,-4,1,0,0,0,0,1,0,75,0,0.0,0,4.0
Abyssal dagger#(p+),75,40,-4,1,0,0,0,0,1,0,75,0,0.0,0,4.0
Abyssal dagger#(p++),75,40,-4,1,0,0,0,0,1,0,75,0,0.0,0,4.0
Abyssal dagger#(unp),75,40,-4,1,0,0,0,0,1,0,75,0,0.0,0,4.0
Abyssal tentacle,0,90,0,0,0,0,0,0,0,0,86,0,0.0,0,4.0
Abyssal whip,0,82,0,0,0,0,0,0,0,0,82,0,0.0,0,4.0
Adamant axe,-2,17,15,0,0,0,1,0,0,0,19,0,0.0,0,5.0
Adamant battleaxe,-2,31,26,0,0,0,0,0,0,-1,41,0,0.0,0,6.0
Adamant cane,13,-2,25,0,0,0,0,0,0,0,23,0,0.0,3,5.0
Adamant crossbow,0,0,0,0,78,0,0,0,0,0,0,0,0.0,0,6.0
Adamant dagger#(p),15,8,-4,1,0,0,0,0,1,0,14,0,0.0,0,4.0
Adamant dagger#(p+),15,8,-4,1,0,0,0,0,1,0,14,0,0.0,0,4.0
Adamant dagger#(p++),15,8,-4,1,0,0,0,0,1,0,14,0,0.0,0,4.0
Adamant dagger#(unp),15,8,-4,1,0,0,0,0,1,0,14,0,0.0,0,4.0
Adamant dart#(p),0,0,0,0,11,0,0,0,0,0,0,10,0.0,0,3.0
Adamant dart#(p+),0,0,0,0,11,0,0,0,0,0,0,10,0.0,0,3.0
Adamant dart#(p++),0,0,0,0,11,0,0,0,0,0,0,10,0.0,0,3.0
Adamant dart#(unp),0,0,0,0,11,0,0,0,0,0,0,10,0.0,0,3.0
Adamant hasta#(kp),24,24,24,0,0,-6,-7,-5,0,-6,28,0,0.0,0,5.0
Adamant hasta#(p),24,24,24,0,0,-6,-7,-5,0,-6,28,0,0.0,0,5.0
Adamant hasta#(p+),24,24,24,0,0,-6,-7,-5,0,-6,28,0,0.0,0,5.0
Adamant hasta#(p++),24,24,24,0,0,-6,-7,-5,0,-6,28,0,0.0,0,5.0
Adamant hasta#(unp),24,24,24,0,0,-6,-7,-5,0,-6,28,0,0.0,0,5.0
Adamant knife#(p),0,0,0,0,15,0,0,0,0,0,0,14,0.0,0,3.0
Adamant knife#(p+),0,0,0,0,15,0,0,0,0,0,0,14,0.0,0,3.0
Adamant knife#(p++),0,0,0,0,15,0,0,0,0,0,0,14,0.0,0,3.0
